"dataset_id","fair","keep","var_name","var_name_raw","var_def","var_label","domain","subdomain"
"SEC_Census","renovated",,"CNSCROWD25BR","CNSCROWD25BRL1AD;CNSCROWD25BRL2;CNSCROWD25BRL2_5;CNSCROWD25BRL3","Percentage of households with more than 2.5 people per bedroom. ","Overcrowding, bedrooms","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSCROWD3RM","CNSCROWD3RML1AD;CNSCROWD3RML2;CNSCROWD3RML2_5;CNSCROWD3RML3","Percentage of households with more than 3 people per room. ","Overcrowding, rooms","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSEMPRAT","CNSEMPRATL1AD;CNSEMPRATL2;CNSEMPRATL2_5;CNSEMPRATL3","Ratio of the female (15 years of age and older) unemployment rate to the male (15 years of age and older) unemployment rate.","Unemployment, female to male ratio","Social, Economic, and Services Environment","Gender Equity; Economy"
"SEC_Census","renovated",,"CNSFLOOR","CNSFLOORL1AD;CNSFLOORL2;CNSFLOORL2_5;CNSFLOORL3","Percentage of dwellings with finished floors. Finished floors include any material that is not any type of earth (dirt, sand, or loose brick).","Finished floors","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_marriage","renovated","keep","CNSFM","CNSFMAR1517L1AD;CNSFMAR1517L2","Proportion of women 15 to 17 formally married among all women ages 15 to 17","Proportion of women formally married among all women ages 15 to 17","Social, Economic, and Services Environment","Gender Equity"
"SEC_marriage","renovated","keep","CNSFMARBF18","CNSFMARBF18L1AD;CNSFMARBF18L2","Proportion of women 15 to 17 formally married among all married women","Proportion of women formally married among all married women","Social, Economic, and Services Environment","Gender Equity"
"SEC_Census","renovated","keep","CNSHSEDRAT","CNSHSEDRATL1AD;CNSHSEDRATL2;CNSHSEDRATL2_5;CNSHSEDRATL3","Ratio of the female population aged 25 or older who completed secondary education or above to the male population aged 25 or older who completed secondary education or above.","Completed secondary education, female to male ratio","Social, Economic, and Services Environment","Gender Equity; Education"
"SEC_Census","renovated",,"CNSLABPART","CNSLABPARTL1AD;CNSLABPARTL2;CNSLABPARTL2_5;CNSLABPARTL3;CNSLABPART_F_L1AD;CNSLABPART_F_L2;CNSLABPART_F_L2_5;CNSLABPART_F_L3;CNSLABPART_M_L1AD;CNSLABPART_M_L2;CNSLABPART_M_L2_5;CNSLABPART_M_L3","Percentage of the working-age population 15 years of age or older who participate in the labor force. (Employed + Unemployed)/(Total working age population). ","Labor force participation","Social, Economic, and Services Environment","Economy"
"SEC_Census","renovated",,"CNSLABPROP","CNSLABFEML1AD;CNSLABFEML2;CNSLABFEML2_5;CNSLABFEML3","Percentage of the female labor force (15 years of age and older) among the total labor force.","Female labor force","Social, Economic, and Services Environment","Gender Equity; Economy"
"SEC_Census","renovated",,"CNSLABRAT","CNSLABRATL1AD;CNSLABRATL2;CNSLABRATL2_5;CNSLABRATL3","Ratio of the female (15 years of age and older) labor force participation rate to the male (15 years of age and older) labor force participation rate.","Labor force participation, female to male ratio","Social, Economic, and Services Environment","Gender Equity; Economy"
"SEC_MIGRATION","renovated",,"CNSMIGRFORBORN","CNSMIGR_FORBORNL1AD;CNSMIGR_FORBORNL2","Foreign born as defined as the proportion of the current population that was born in a different country.","Foreign born","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGRINFOR","CNSMIGRIN_FORL1AD;CNSMIGRIN_FORL2","External migration into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived in a different country 5 years ago.","External migration (proportion of the current population that lived in a different country 5 years ago)","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGRININT","CNSMIGRIN_INTL1AD;CNSMIGRIN_INTL2","Internal migration (rural and urban-to-urban) into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived elsewhere in the same country 5 years ago.","Internal migration (rural and urban-to-urban) in last 5 years","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGRININTR","CNSMIGRIN_INTRL1AD;CNSMIGRIN_INTRL2","Internal migration (rural-to-urban) into the city (L1AD) or sub-city (L2) in last 5 years defined as the proportion of the current population that lived in NON-SALURBAL (rural) areas of the same country 5 years ago.","Internal migration (rural-to-urban) in last 5 years ","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGRININTU","CNSMIGRIN_INTUL1AD;CNSMIGRIN_INTUL2","Internal migration (urban-to-urban) into the city (L1AD) or sub-city (L2) last 5 years defined as the proportion of the current population that lived in other SALURBAL areas of the same country 5 years ago.","Internal migration (urban-to-urban) in last 5 years ","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGRINTOTAL","CNSMIGRIN_TOTALL1AD;CNSMIGRIN_TOTALL2","All migration into the city (L1AD) or sub-city (L2) (internal and external) in last 5 years defined as the proportion of the current population that lived elsewhere 5 years ago. Internal refers to  migration from elsewhere in the country. External refer to migration from outside the country.","All migration (internal and external) in last 5 years.","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGROUTINT","CNSMIGROUT_INTL1AD;CNSMIGROUT_INTL2","Out migration within the same country (urban-to-urban and rural) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to other parts of the country (whether urban or rural) in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population). ","Out migration within the same country (urban-to-urban and rural) in last 5 years ","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGROUTINTR","CNSMIGROUT_INTRL1AD;CNSMIGROUT_INTRL2","Out migration within the same country (urban-to-rural) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to non-SALURBAL areas within the country in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population).","Out migration within the same country (urban-to-rural) in last 5 years ","Demographics","Migration"
"SEC_MIGRATION","renovated",,"CNSMIGROUTINTU","CNSMIGROUT_INTUL1AD;CNSMIGROUT_INTUL2","Out migration within the same country (urban-to-urban) in last 5 years defined as the proportion of the current population that moved out of the city (L1AD) or sub-city (L2) to other SALURBAL areas within the country in the past 5 years. Note that this is technically not a proportion, as the numerator (people moving out) are not included in the denominator (current population).","Out migration within the same country (urban-to-urban) in last 5 years","Demographics","Migration"
"SEC_Census","renovated","keep","CNSMINHS","CNSMINHSF_L1AD;CNSMINHSF_L2;CNSMINHSF_L2_5;CNSMINHSF_L3;CNSMINHSM_L1AD;CNSMINHSM_L2;CNSMINHSM_L2_5;CNSMINHSM_L3;CNSMINHS_L1AD;CNSMINHS_L2;CNSMINHS_L2_5;CNSMINHS_L3","Percentage of the population aged 25 or older who completed secondary education or above. In general, completed secondary is considered to be attained at 12 years of education.","Completed secondary education","Social, Economic, and Services Environment","Education"
"SEC_Census","renovated","keep","CNSMINPR","CNSMINPRF_L1AD;CNSMINPRF_L2;CNSMINPRF_L2_5;CNSMINPRF_L3;CNSMINPRM_L1AD;CNSMINPRM_L2;CNSMINPRM_L2_5;CNSMINPRM_L3;CNSMINPR_L1AD;CNSMINPR_L2;CNSMINPR_L2_5;CNSMINPR_L3","Percentage of the population aged 25 or older who completed primary education or above. In general, completed primary is considered to be attained at 6 years of education. ","Completed primary education","Social, Economic, and Services Environment","Education"
"SEC_Census","renovated","keep","CNSMINUN","CNSMINUNF_L1AD;CNSMINUNF_L2;CNSMINUNF_L2_5;CNSMINUNF_L3;CNSMINUNM_L1AD;CNSMINUNM_L2;CNSMINUNM_L2_5;CNSMINUNM_L3;CNSMINUN_L1AD;CNSMINUN_L2;CNSMINUN_L2_5;CNSMINUN_L3","Percentage of the population aged 25 or older who completed university education or above. In general, completed university is considered to be attained at 4 years of university education or above. ","Completed university education","Social, Economic, and Services Environment","Education"
"SEC_marriage","renovated","keep","CNSNFM","CNSNFMAR1517L1AD;CNSNFMAR1517L2","Proportion of women 15 to 17 formally or non-formally married among all women ages 15 to 17","Proportion of women formally/non-formally married among all women ages 15 to 17","Social, Economic, and Services Environment","Gender Equity"
"SEC_marriage","renovated","keep","CNSNFMARBF18","CNSNFMARBF18L1AD;CNSNFMARBF18L2","Proportion of women 15 to 17 formally or non-formally married among all married women","Proportion of women formally/ non-formally married among all married women","Social, Economic, and Services Environment","Gender Equity"
"SEC_Census","renovated",,"CNSPOP","CNSPOPL2_5;CNSPOPL3","Population count.","Census population","Social, Economic, and Services Environment","Population"
"SEC_INDEXSCORES","renovated",,"CNSSE1","CNSSE1_L1AD;CNSSE1_L2","Captures factors related to poverty and general living conditions. This score includes three variables: (1) the percentage of household with piped water inside the dwelling as a marker of living conditions; (2) the percentage of households with overcrowding (defined as more than 3 people per room, excluding kitchen and bathroom); and (3) the percentage of population aged 15-17 attending school. The latter variable is included because low school attendance among adolescents has been linked to poverty and early participation in the labor market, as well as exclusion from productive systems.  The score was created by summing the Z-scores for each component variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). For the construction of the score, we reverse coded the overcrowding indicator so higher score values signify better living conditions and lower poverty levels. ","Living conditions score","Social, Economic, and Services Environment","Education;Housing and Infrastructure;Income/Poverty"
"SEC_INDEXSCORES","renovated",,"CNSSE2","CNSSE2_L1AD;CNSSE2_L2","Refers to services that cities provide to dwellings. This score includes two variables: (1) the percentage of households with access to water source from a municipal public or private water network, and (2) the percentage of households with sewage system connected to a municipal public or private sewage network. The score was created by summing the Z-scores for each variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). Higher score values signify better service provision in cities. ","Service provision score","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_INDEXSCORES","renovated",,"CNSSE3","CNSSE3_L1AD;CNSSE3_L2","Refers to educational achievement in the overall population. We used aggregated data from individual level of education to retrieve (1) the percentage of population age 25 or above that has completed high school level or above, and (2) the percentage of population age 25 or above that completed university level or above. The score was created by summing the Z-scores for each variable. Z-scores were created based on the distributions of all cities (L1AD) or all sub-cities (L2). Higher score values signify better educational achievement in the population.","Population educational attainment score","Social, Economic, and Services Environment","Education"
"SEC_INDEXSCORES","renovated",,"CNSSEI","CNSSEI_L1AD;CNSSEI_L2","This index aims to summarize the domains of education, water acces, sanitation and overcrowding. For its construction, one measure from each of the four domains of education (proportion of the population aged 25 or older who completed primary education or above), water access (proportion of households with piped water access inside the dwelling), sanitation (proportion of households connected to a public sewage network), and overcrowding (proportion of households with more than 3 people per room) was selected. Each measure was transformed into a Z-score using the mean and standard deviation from the census data. Overcrowding was reverse coded such that the direction of all measures indicate a better social environment. The four measures were summed then divided by 4 assuming equal weights for all four measures.  This index was developed using data for cities (L1AD), the same method was applied to create the index at sub-city (L2) level. The higher the index the best social environment.","Social environment index ","Social, Economic, and Services Environment","Education; Housing and Infrastructure"
"SEC_Census","renovated",,"CNSSEWANY","CNSSEWANYL1AD;CNSSEWANYL2;CNSSEWANYL2_5;CNSSEWANYL3","Percentage of households connected to a sewage system of any type. A sewage connection includes a connection to a sewage system or a septic tank. The absence of a sewage connection includes non-sanitary pit latrines, disposal in natural bodies of water, or others.","Any sewage connection","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSSEWNET","CNSSEWNETL1AD;CNSSEWNETL2;CNSSEWNETL2_5;CNSSEWNETL3","Percentage of households connected to a sewage network.","Sewage network connection","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSST","CNSST1517FL1AD;CNSST1517FL2;CNSST1517FL2_5;CNSST1517FL3;CNSST1517L1AD;CNSST1517L2;CNSST1517L2_5;CNSST1517L3;CNSST1517ML1AD;CNSST1517ML2;CNSST1517ML2_5;CNSST1517ML3","Percentage of the population aged 15 to 17 years attending school.","School attendance","Social, Economic, and Services Environment","Education"
"SEC_Census","renovated",,"CNSSTRAT","CNSST1517RATL1AD;CNSST1517RATL2;CNSST1517RATL2_5;CNSST1517RATL3","Ratio of the proportion of the female population aged 15 to 17 attending school to the proportion of the male population aged 15 to 17 attending school.","School attendance, female to male ratio","Social, Economic, and Services Environment","Gender Equity; Education"
"SEC_Census","renovated",,"CNSUNEMP","CNSUNEMPL1AD;CNSUNEMPL2;CNSUNEMPL2_5;CNSUNEMPL3;CNSUNEMPL_F_L1AD;CNSUNEMPL_F_L2;CNSUNEMPL_F_L2_5;CNSUNEMPL_F_L3;CNSUNEMPL_M_L1AD;CNSUNEMPL_M_L2;CNSUNEMPL_M_L2_5;CNSUNEMPL_M_L3","Percentage of the labor force (15 years of age and older) who are unemployed and are actively seeking employment, unemployment rate. (Unemployed)/(Employed + Unemployed)","Unemployment","Social, Economic, and Services Environment","Economy"
"SEC_Census","renovated",,"CNSWALLDUR1","CNSWALLDUR1L1AD;CNSWALLDUR1L2;CNSWALLDUR1L2_5;CNSWALLDUR1L3","Percentage of dwellings with exterior walls mostly composed of durable materials. Durable materials include masonry, stone, cement, adobe, metal, glass, and other fabricated materials (sometimes mixed with wood).","Walls, durable materials","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSWALLDUR2","CNSWALLDUR2L1AD;CNSWALLDUR2L2;CNSWALLDUR2L2_5;CNSWALLDUR2L3","Percentage of dwellings with exterior walls mostly made of brick, stone, concrete, cement and/or similar materials. Walls made of adobe materials are excluded due to variations in how adobe is defined across countries.","Walls, masonry type materials","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSWALLDUR3","CNSWALLDUR3L1AD;CNSWALLDUR3L2;CNSWALLDUR3L2_5;CNSWALLDUR3L3","Percentage of all dwellings with exterior walls made of materials that the country has defined as durable. Individual country wall durability definitions are based on descriptions used by the respective national statistics agency.  ","Walls, country-defined durable","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSWATIN","CNSWATINL1AD;CNSWATINL2;CNSWATINL2_5;CNSWATINL3","Percentage of households with piped water access inside the dwelling.","Indoor piped water","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSWATNET","CNSWATNETL1AD;CNSWATNETL2;CNSWATNETL2_5;CNSWATNETL3","Percentage of households with water from a public or private water network.","Water network","Social, Economic, and Services Environment","Housing and Infrastructure"
"SEC_Census","renovated",,"CNSWATPIPE","CNSWATPIPEL1AD;CNSWATPIPEL2;CNSWATPIPEL2_5;CNSWATPIPEL3","Percentage of households with piped water. Piped water includes all piped water, regardless of whether the water is within or outside the dwelling and property. The water connection may also be exclusive or shared between households. Piped water may not always be from potable sources.","Piped water","Social, Economic, and Services Environment","Housing and Infrastructure"
"DTH","renovated","keep","DTHDEATHS","DTHDEATHS","Number of all-cause deaths","Number of deaths","Mortality","Mortality Rates"
"LEMEDIAN_L1","renovated","keep","LEALE","LEALE","Estimated life expectancy at given age, sex at a given geographic area.","Life Expectancy","Mortality","Life Expectancy"
"WomenPP","renovated",,"POLFEMELECT","POLFEMELECT","Percent subcities (or municipalities in Argentina) within a city (L1AD) that have a female elected as mayor in the last known election between 2010-2014 and by 2015 or 2017 for Argentina and by 2015 for Peru","Percent women elected as mayor within city","Social, Economic, and Services Environment","Gender Equity"
"WomenPP","renovated",,"POLNFEMELECT","POLNFEMELECT","Number of subcity (L2) units (or municipalities aggregated up to L1AD in Argentina) used to cal-culate the percent women elected as mayor.","Number of subcity (L2) units to calculate POLFEMELECT","Social, Economic, and Services Environment","Gender Equity"
"WomenPP","renovated",,"POLNSEX","POLNSEX","Number of municipalities aggregated up to subcities (L2) in Argentina (used to calculate the percent female elected as mayor).","Number of municipalities to calculate POLSEX ","Social, Economic, and Services Environment","Gender Equity"
"WomenPP","renovated",,"POLSEX","POLSEX","Indicator variable of whether the elected mayor in the election for the specified year was a woman or for Argentina, percent of municipalities within a subcity (L2) that have a female elected as mayor in the last known election in 2015 or 2017.","Percent women elected as mayor within subcity","Social, Economic, and Services Environment","Gender Equity"
"PRJG","renovated","keep","PRJPD","PRJL1ADPD;PRJL2PD","Percent population change from 5 years prior to target year. The percent population change was calculated using the formula: [(PRJ<level>TPY1 - PRJ<level>TPY2) / PRJ<level>TPY2] *100","Percent population change from 5 years prior to target year","Demographics","Population"
"PRJ","renovated","keep","PRJPOP","PRJL1ADPOP;PRJL2POP","Number of people","Number of people","Demographics","Population"
"PRJS","renovated",,"PRJSPOP","PRJL1ADPOP;PRJL2POP","Number of people","Number of people","Demographics","Population"
"PRJT","renovated","keep","PRJTPOP","PRJL1ADPOP;PRJL1ADPOPF;PRJL1ADPOPM;PRJL2POP;PRJL2POPF;PRJL2POPM","Number of people at given sex","Number of people","Demographics","Population"
"PRJG","renovated","keep","PRJTPY1","PRJL1ADTPY1;PRJL2TPY1","Total population at target year. The total population was calculated by summing the population estimates across all age and sex categories in the population projections datasets for the specified year.","Total population at target year","Demographics","Population"
"PRJG","renovated","keep","PRJTPY2","PRJL1ADTPY2;PRJL2TPY2","Total population 5 years prior to target year. The total population was calculated by summing the population estimates across all age and sex categories in the population projections datasets for the specified year.","Total population 5 years prior to target year","Demographics","Population"
"SECGDPGPC","renovated","keep","SECGDPGADML","SECGDPGADML","Administrative level of the GDP estimate assigned to each SALID1. For L1ADs which incorporate multiple subnational administrative units, levels of all administrative units included in the GDP estimate are concatenated. For example, an L1AD which overlapped both a department and a federal district would have a value of “Department / Federal District.”","Administrative level of GDP per capita ","Social, Economic, and Services Environment","Economy"
"SECGDPGPC","renovated","keep","SECGDPGPPC","SECGDPGPPC","Gross Domestic Product (GDP) per capita (purchasing power parity in constant 2011 international US Dollars). Subnational GDP estimates are based on an extensive econometric analysis by Genaioli and colleagues in 2013. GDP per capita (purchasing power parity in constant 2011 international USD) was estimated globally using complete data available at the smallest administrative unit possible. Within Latin American countries, this subnational level was generally the first-level administrative unit (departments/states/etc.) in addition to federal districts in Argentina, Brazil, Mexico, and Nicaragua. The exception is Costa Rica, which has one national GDP estimate and no estimates at the subnational level.","GDP per capita","Social, Economic, and Services Environment","Economy"
"child_survey_prevalence_city","renovated",,"SVYOVWTCH","SVYOVWTCH","Prevalence estimate for percent of children aged 1-4 years who are overweight. Overweight is defined as weight for height z-score > 2.","Prevalence estimate for percent of children who are overweight","Health Risk Factors","Childhood Biomedical Risk Factors	"
"child_survey_prevalence_city","renovated",,"SVYSTUNTCH","SVYSTUNTCH","Prevalence estimate for percent of children aged 1-4 years who are stunting. Stunting is defined as height for age z-score < -2.","Prevalence estimate for percent of children who are stunting","Health Risk Factors","Childhood Biomedical Risk Factors	"
"child_survey_prevalence_city","renovated",,"SVYWASTECH","SVYWASTECH","Prevalence estimate for percent of children aged 1-4 years who are wasting. Wasting is defined as weight for height z-score < -2.","Prevalence estimate for percent of children who are wasting","Health Risk Factors","Childhood Biomedical Risk Factors	"
